latitude_bin,longitude_bin,updated_type,updated_subtype,alert_count
41.64,-87.61,Hazard,Road,3
41.65,-87.62,Hazard,Road,16
41.65,-87.62,Road Closure,Unclassified,1
41.65,-87.62,Traffic Jam,Unclassified,1
41.65,-87.61,Hazard,Road,12
41.65,-87.61,Traffic Jam,Standstill,1
41.65,-87.61,Traffic Jam,Unclassified,2
41.65,-87.6,Hazard,Road,1
41.65,-87.6,Traffic Jam,Unclassified,1
41.65,-87.58,Accident,Major,26
41.65,-87.58,Accident,Minor,7
41.65,-87.58,Accident,Unclassified,52
41.65,-87.58,Hazard,Road,304
41.65,-87.58,Hazard,Shoulder,1709
41.65,-87.58,Hazard,Unclassified,2
41.65,-87.58,Hazard,Weather,71
41.65,-87.58,Traffic Jam,Heavy,155
41.65,-87.58,Traffic Jam,Moderate,6
41.65,-87.58,Traffic Jam,Standstill,74
41.65,-87.58,Traffic Jam,Unclassified,82
41.65,-87.56,Accident,Major,1
41.65,-87.56,Accident,Unclassified,1
41.65,-87.56,Hazard,Road,15
41.65,-87.56,Hazard,Shoulder,9
41.65,-87.56,Hazard,Weather,6
41.65,-87.56,Traffic Jam,Standstill,2
41.65,-87.56,Traffic Jam,Unclassified,1
41.66,-87.65,Hazard,Road,8
41.66,-87.65,Hazard,Unclassified,1
41.66,-87.64,Accident,Unclassified,4
41.66,-87.64,Hazard,Road,55
41.66,-87.64,Hazard,Shoulder,5
41.66,-87.64,Hazard,Weather,7
41.66,-87.64,Traffic Jam,Heavy,6
41.66,-87.64,Traffic Jam,Standstill,5
41.66,-87.64,Traffic Jam,Unclassified,8
41.66,-87.63,Accident,Unclassified,4
41.66,-87.63,Hazard,Road,26
41.66,-87.63,Hazard,Shoulder,8
41.66,-87.63,Hazard,Weather,2
41.66,-87.63,Road Closure,Unclassified,1
41.66,-87.63,Traffic Jam,Heavy,1
41.66,-87.63,Traffic Jam,Unclassified,2
41.66,-87.62,Accident,Minor,1
41.66,-87.62,Accident,Unclassified,8
41.66,-87.62,Hazard,Road,51
41.66,-87.62,Hazard,Shoulder,19
41.66,-87.62,Hazard,Weather,5
41.66,-87.62,Traffic Jam,Heavy,17
41.66,-87.62,Traffic Jam,Standstill,15
41.66,-87.62,Traffic Jam,Unclassified,7
